,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Species,Weight,Height,Width,Cluster_ID
0,0,0,0,Bream,242.0,11.52,4.02,0
1,1,1,1,Bream,290.0,12.48,4.3056,0
2,2,2,2,Bream,340.0,12.3778,4.6961,0
3,3,3,3,Bream,363.0,12.73,4.4555,0
4,4,4,4,Bream,430.0,12.444,5.1339999999999995,1
5,5,5,5,Bream,450.0,13.6024,4.9274,1
6,6,6,6,Bream,500.0,14.1795,5.2785,1
7,7,7,7,Bream,390.0,12.67,4.69,1
8,8,8,8,Bream,450.0,14.0049,4.8438,1
9,9,9,9,Bream,500.0,14.2266,4.9594,1
10,10,10,10,Bream,475.0,14.2628,5.1042,1
11,11,11,11,Bream,500.0,14.3714,4.8146,1
12,12,12,12,Bream,500.0,13.7592,4.368,1
13,13,13,13,Bream,340.0,13.9129,5.0728,0
14,14,14,14,Bream,600.0,14.9544,5.1708,1
15,15,15,15,Bream,600.0,15.437999999999999,5.58,1
16,16,16,16,Bream,700.0,14.8604,5.2854,1
17,17,17,17,Bream,700.0,14.937999999999999,5.1975,1
18,18,18,18,Bream,610.0,15.633,5.1338,1
19,19,19,19,Bream,650.0,14.4738,5.7276,1
20,20,20,20,Bream,575.0,15.1285,5.5695,1
21,21,21,21,Bream,685.0,15.9936,5.3704,1
22,22,22,22,Bream,620.0,15.5227,5.2801,1
23,23,23,23,Bream,680.0,15.4686,6.1306,1
24,24,24,24,Bream,700.0,16.2405,5.5889999999999995,1
25,25,25,25,Bream,725.0,16.36,6.0532,1
26,26,26,26,Bream,720.0,16.3618,6.09,1
27,27,27,27,Bream,714.0,16.517,5.8515,1
28,28,28,28,Bream,850.0,16.8896,6.1984,1
29,29,29,29,Bream,1000.0,18.957,6.603,2
30,30,30,30,Bream,920.0,18.0369,6.3063,1
31,31,31,31,Bream,955.0,18.084,6.292000000000001,1
32,32,32,32,Bream,925.0,18.7542,6.7497,1
33,33,33,33,Bream,975.0,18.6354,6.7473,2
34,34,34,34,Bream,950.0,17.6235,6.3705,1
35,35,35,35,Roach,40.0,4.1472,2.2680000000000002,0
36,36,36,36,Roach,69.0,5.2983,2.8217,0
37,37,37,37,Roach,78.0,5.5756,2.9044,0
38,38,38,38,Roach,87.0,5.6166,3.1746,0
39,39,39,39,Roach,120.0,6.216,3.5742,0
40,40,40,40,Roach,0.0,6.4752,3.3516,0
41,41,41,41,Roach,110.0,6.1677,3.3957,0
42,42,42,42,Roach,120.0,6.1146,3.2943,0
43,43,43,43,Roach,150.0,5.8045,3.7544,0
44,44,44,44,Roach,145.0,6.6339,3.5478,0
45,45,45,45,Roach,160.0,7.0334,3.8203,0
46,46,46,46,Roach,140.0,6.55,3.325,0
47,47,47,47,Roach,160.0,6.4,3.8,0
